id_subject,id_segment,id_error,idt,t,id_BayeSlope,signal,Amplitude,A_pre,A_pre_ratio,A_post,A_post_ratio,Width,W_pre,W_pre_ratio,W_post,W_post_ratio,RR_pre,RR_post,RR_ratio,consecutive_errors,Isolated,error_class_label
2,1,0,1630,934.8504063011583,19,153,131,124.0,1.0564516129032258,141.0,0.9290780141843972,30,15.0,2.0,16.0,1.875,118.0,127.0,1.076271186440678,1,1,T-wave
2,1,1,1822,935.6184082779922,21,64,74,141.0,0.524822695035461,49.0,1.510204081632653,14,16.0,0.875,28.0,0.5,65.0,59.0,0.9076923076923077,1,0,Noise
2,1,2,1881,935.8544088854569,22,68,49,74.0,0.6621621621621622,80.0,0.6125,28,14.0,2.0,27.0,1.037037037037037,59.0,82.0,1.3898305084745763,2,0,T-wave
2,1,3,1963,936.1824097297298,23,93,80,49.0,1.6326530612244898,98.0,0.8163265306122449,27,28.0,0.9642857142857143,20.0,1.35,82.0,80.0,0.975609756097561,3,0,T-wave
2,1,4,2043,936.5024105534105,24,93,98,80.0,1.225,101.0,0.9702970297029703,20,27.0,0.7407407407407407,24.0,0.8333333333333334,80.0,122.0,1.525,4,0,T-wave
2,1,5,2801,939.5344183577864,33,90,102,108.0,0.9444444444444444,101.0,1.00990099009901,18,20.0,0.9,15.0,1.2,66.0,97.0,1.4696969696969697,1,1,Noise
2,1,6,4269,945.4064334723295,51,75,112,172.0,0.6511627906976745,333.0,0.33633633633633636,11,17.0,0.6470588235294118,30.0,0.36666666666666664,64.0,60.0,0.9375,1,0,Noise
2,1,7,4329,945.6464340900901,52,381,333,112.0,2.9732142857142856,217.0,1.5345622119815667,30,11.0,2.727272727272727,15.0,2.0,60.0,123.0,2.05,2,0,T-wave
2,3,0,1621,1320.4913989395109,21,124,107,40.0,2.675,71.0,1.5070422535211268,10,25.0,0.4,15.0,0.6666666666666666,64.0,89.0,1.390625,1,1,Noise
2,3,1,2114,1322.463404015444,27,132,107,62.0,1.7258064516129032,74.0,1.445945945945946,29,17.0,1.7058823529411764,19.0,1.5263157894736843,105.0,71.0,0.6761904761904762,1,0,T-wave
2,3,2,2185,1322.7474047464607,28,48,74,107.0,0.6915887850467289,144.0,0.5138888888888888,19,29.0,0.6551724137931034,19.0,1.0,71.0,98.0,1.380281690140845,2,0,Noise
2,3,3,2283,1323.1394057554696,29,135,144,74.0,1.945945945945946,44.0,3.272727272727273,19,19.0,1.0,7.0,2.7142857142857144,98.0,69.0,0.7040816326530612,3,0,Noise
2,3,4,2352,1323.4154064658944,30,65,44,144.0,0.3055555555555556,198.0,0.2222222222222222,7,19.0,0.3684210526315789,27.0,0.25925925925925924,69.0,65.0,0.9420289855072463,4,0,Noise
2,3,5,2417,1323.6754071351352,31,220,198,44.0,4.5,77.0,2.5714285714285716,27,7.0,3.857142857142857,12.0,2.25,65.0,87.0,1.3384615384615384,5,0,Noise
2,3,6,2504,1324.023408030888,32,83,77,198.0,0.3888888888888889,314.0,0.24522292993630573,12,27.0,0.4444444444444444,20.0,0.6,87.0,66.0,0.7586206896551724,6,0,Noise
2,3,7,2570,1324.2874087104246,33,363,314,77.0,4.077922077922078,58.0,5.413793103448276,20,12.0,1.6666666666666667,30.0,0.6666666666666666,66.0,74.0,1.121212121212121,7,0,Noise
2,3,8,2644,1324.5834094723293,34,76,58,314.0,0.18471337579617833,120.0,0.48333333333333334,30,20.0,1.5,30.0,1.0,74.0,71.0,0.9594594594594594,8,0,Noise
2,3,9,2715,1324.867410203346,35,147,120,58.0,2.0689655172413794,90.0,1.3333333333333333,30,30.0,1.0,12.0,2.5,71.0,65.0,0.9154929577464789,9,0,Noise
2,3,10,2780,1325.1274108725868,36,73,90,120.0,0.75,48.0,1.875,12,30.0,0.4,13.0,0.9230769230769231,65.0,67.0,1.0307692307692307,10,0,Noise
2,3,11,2847,1325.3954115624194,37,33,48,90.0,0.5333333333333333,123.0,0.3902439024390244,13,12.0,1.0833333333333333,30.0,0.43333333333333335,67.0,84.0,1.2537313432835822,11,0,Noise
2,3,12,2931,1325.7314124272843,38,139,123,48.0,2.5625,143.0,0.8601398601398601,30,13.0,2.3076923076923075,30.0,1.0,84.0,77.0,0.9166666666666666,12,0,Noise
2,3,13,3008,1326.039413220077,39,149,143,123.0,1.1626016260162602,72.0,1.9861111111111112,30,30.0,1.0,29.0,1.0344827586206897,77.0,78.0,1.0129870129870129,13,0,Noise
2,3,14,3086,1326.351414023166,40,73,72,143.0,0.5034965034965035,87.0,0.8275862068965517,29,30.0,0.9666666666666667,27.0,1.0740740740740742,78.0,73.0,0.9358974358974359,14,0,T-wave
2,3,15,3159,1326.6434147747748,41,160,87,72.0,1.2083333333333333,132.0,0.6590909090909091,27,29.0,0.9310344827586207,29.0,0.9310344827586207,73.0,76.0,1.0410958904109588,15,0,T-wave
2,3,16,3235,1326.9474155572714,42,162,132,87.0,1.5172413793103448,59.0,2.23728813559322,29,27.0,1.0740740740740742,30.0,0.9666666666666667,76.0,77.0,1.013157894736842,16,0,T-wave
2,3,17,3312,1327.2554163500643,43,67,59,132.0,0.44696969696969696,191.0,0.3089005235602094,30,29.0,1.0344827586206897,30.0,1.0,77.0,67.0,0.8701298701298701,17,0,T-wave
2,3,18,3379,1327.523417039897,44,127,191,59.0,3.23728813559322,35.0,5.457142857142857,30,30.0,1.0,13.0,2.3076923076923075,67.0,65.0,0.9701492537313433,18,0,Noise
2,3,19,3444,1327.7834177091377,45,32,35,191.0,0.18324607329842932,99.0,0.35353535353535354,13,30.0,0.43333333333333335,25.0,0.52,65.0,92.0,1.4153846153846155,19,0,Noise
2,3,20,3536,1328.1514186563704,46,128,99,35.0,2.8285714285714287,50.0,1.98,25,13.0,1.9230769230769231,11.0,2.272727272727273,92.0,86.0,0.9347826086956522,20,0,T-wave
2,3,21,3622,1328.4954195418275,47,57,50,99.0,0.5050505050505051,129.0,0.3875968992248062,11,25.0,0.44,17.0,0.6470588235294118,86.0,64.0,0.7441860465116279,21,0,Noise
2,3,22,3686,1328.7514202007721,48,158,129,50.0,2.58,75.0,1.72,17,11.0,1.5454545454545454,30.0,0.5666666666666667,64.0,67.0,1.046875,22,0,Noise
2,3,23,3753,1329.0194208906048,49,77,75,129.0,0.5813953488372093,67.0,1.1194029850746268,30,17.0,1.7647058823529411,19.0,1.5789473684210527,67.0,72.0,1.0746268656716418,23,0,Noise
2,3,24,3825,1329.3074216319176,50,31,67,75.0,0.8933333333333333,82.0,0.8170731707317073,19,30.0,0.6333333333333333,30.0,0.6333333333333333,72.0,84.0,1.1666666666666667,24,0,Noise
2,3,25,3909,1329.6434224967825,51,95,82,67.0,1.2238805970149254,186.0,0.44086021505376344,30,19.0,1.5789473684210527,30.0,1.0,84.0,72.0,0.8571428571428571,25,0,T-wave
2,3,26,3981,1329.9314232380952,52,224,186,82.0,2.268292682926829,222.0,0.8378378378378378,30,30.0,1.0,30.0,1.0,72.0,78.0,1.0833333333333333,26,0,T-wave
